model,AUC_no_sex,Brier_no_sex,threshold_no_sex,DPD_no_sex,EOD_no_sex,AUC_with_sex,Brier_with_sex,DPD_with_sex,EOD_with_sex
Random Forest,0.774830509116893,0.136949007611076,0.165,0.02658707145564726,0.021471074735236573,0.774130226859199,0.1373666202083823,0.0345121885180915,0.0282349696339191
XGBoost,0.7757669602557364,0.13566570781957354,0.16,0.010516759472720294,0.003928487035724237,0.7760831153199181,0.1359778704089468,0.0357704044109989,0.0279096735684671
LightGBM,0.7755519973888382,0.1364014357086522,0.15000000000000002,0.006754839745829744,0.0023666243140977317,0.7766630151468997,0.1362988885115724,0.0350738383198362,0.0274205786587368
CatBoost,0.7798313388122794,0.1357365539457031,0.15000000000000002,0.02160974803746557,0.016692905170059225,0.7792799824417427,0.1356904944170135,0.0392092655786658,0.0329320069846588
