model,threshold,DPD,EOD,sel_rate_male,sel_rate_female,tpr_male,tpr_female,fpr_male,fpr_female,acc_male,acc_female,n_male,n_female,dpd_warn,eod_warn
Random Forest,0.145,0.03451218851809151,0.028234969633919194,0.4650291423813489,0.4305169538632574,0.7593582887700535,0.7389033942558747,0.3753394894079305,0.3471045197740113,0.6561199000832639,0.6712062256809338,2402,3598,False,False
XGBoost,0.165,0.03577040441099899,0.02790967356846713,0.45961698584512906,0.42384658143413007,0.7557932263814616,0.7284595300261096,0.36936447582835413,0.341454802259887,0.6598667776852623,0.6734296831573097,2402,3598,False,False
LightGBM,0.16,0.03507383831983629,0.027420578658736816,0.46086594504579514,0.42579210672595885,0.7557932263814616,0.7297650130548303,0.3709940249864204,0.3435734463276836,0.6586178184845962,0.6720400222345748,2402,3598,False,False
CatBoost,0.16,0.039209265578665886,0.03293200698465887,0.48501248959200666,0.44580322401334077,0.7843137254901961,0.7597911227154047,0.39380771319934815,0.3608757062146893,0.6477935054121565,0.6648137854363535,2402,3598,False,False
LSTM,0.155,0.006042768695162792,0.020769048184191785,0.44837635303913403,0.4544191217342968,0.7272727272727273,0.7480417754569191,0.36338946224877783,0.375,0.6577851790174855,0.651195108393552,2402,3598,False,False
