bootstrap,Random Forest,XGBoost,LightGBM,CatBoost,LSTM
0,0.7914140834515324,0.7936633001983391,0.7953944352566278,0.7960142859104667,0.7715395445589489
1,0.7700495609097842,0.768397335354347,0.7705202866390032,0.7756229669308901,0.7608769354265708
2,0.7706771440314658,0.7732176860484474,0.771528760509448,0.7761658268646465,0.7583838211728959
3,0.7858546647278513,0.7881539003462086,0.7891643198237804,0.7887709491656976,0.7698108254367425
4,0.7648126225965588,0.7670020840122717,0.7657300142459725,0.7720478971325309,0.7534564018684379
5,0.7776823997188573,0.7809629132220609,0.7809728747086674,0.7837795643858237,0.7683955180495605
6,0.7808776314047399,0.779873111422868,0.7819746070079132,0.7837113723278576,0.7664026774893319
7,0.7664904260893315,0.7679937741560128,0.7700163763512281,0.7695429961776585,0.7538661414261497
8,0.768734244675721,0.7748654259295642,0.7765969966652292,0.7771724327751568,0.7562514192549198
9,0.7702280805371985,0.7731359544104971,0.777745852355564,0.7771899010577956,0.7547021823686535
10,0.7761090670379273,0.7742160450140112,0.7751023500904249,0.7819917036781621,0.7602425798487729
11,0.7778436175847459,0.7762158203125,0.7783930581302964,0.7800001655190677,0.7675743180614406
12,0.7747296331995651,0.7734520998315313,0.7751033240661456,0.780897153013608,0.7658904505616383
13,0.7724947837963062,0.7728902924500801,0.7732201353511419,0.7759718810321443,0.7600790156639915
14,0.7839871897137187,0.7875997741599612,0.7879867178659543,0.7869806325201728,0.766338719786324
15,0.7751995588896152,0.7785646864750592,0.7768157257920464,0.7805780595530357,0.764611311429071
16,0.7755585261188788,0.7786163597753613,0.7784182151731557,0.7799823371910515,0.7672188703027967
17,0.7708110628942437,0.772262722301285,0.7728643927296536,0.7736461658292956,0.7549193132063551
18,0.7686464604603056,0.7706467811731507,0.7707569552774206,0.7746026719692921,0.7547406076778785
19,0.7776988246240645,0.7800318876627003,0.7804357375550467,0.7852229469530867,0.7700438272264405
20,0.7808044595289225,0.7818594150976296,0.7802573735074242,0.7862993033728111,0.7669996123727004
21,0.7814584427865924,0.7861517985359531,0.7883133106838056,0.7894155877007616,0.7715005117547934
22,0.7769409723654895,0.7798138454932745,0.780308170825425,0.7819965650272321,0.7687205371142102
23,0.776686430427323,0.7808147408626404,0.783467177275547,0.7823848696591126,0.7626828639953901
24,0.7797826253657553,0.780758026435274,0.7824946019574212,0.7841646655231561,0.7660596912521441
25,0.7659922809789497,0.7652969107457332,0.7656161227143304,0.7711844335818562,0.7553756645106074
26,0.7844479699045086,0.7879244336458788,0.7867723846095271,0.7894179460812576,0.771645612023351
27,0.7728345220653347,0.7726592713045999,0.7742104458147511,0.7765060939286116,0.76197243644443
28,0.7658790400701131,0.7683225703405266,0.769544582213896,0.7743490677163019,0.7544666598347611
29,0.7813237728946609,0.7807272946576067,0.7808886352204895,0.7857849638056229,0.765789614392946
30,0.770712890625,0.7724021782309323,0.776774943723517,0.779645954713983,0.759314751059322
31,0.7767245377757249,0.7788323430295272,0.7806445737186029,0.7806398344150529,0.7603710179581691
32,0.7710725459836892,0.7702253482412311,0.7698842029942201,0.7726861589262426,0.7610750746158427
33,0.7855261181934934,0.7887188934797862,0.7896538226400076,0.7926752530578248,0.7656391171800311
34,0.7641904713790894,0.7679051548399651,0.7690744168106501,0.7702542313872389,0.7527241926051659
35,0.7768694404330138,0.7797686330148225,0.7785667466354328,0.7823918976243884,0.7678109963224763
36,0.7699909833858006,0.7711317168853014,0.772697952634668,0.7740140797654346,0.7583984092139062
37,0.7778878844414624,0.7759383343829024,0.7772225851573275,0.7807234375643719,0.7597598481296418
38,0.7810278252251802,0.7813587041150591,0.7838629281602321,0.7834455840498524,0.7730371637877601
39,0.7776965055912576,0.7768106184246708,0.7778511817769812,0.7828238142765482,0.7595172002464633
