model,threshold,static_catch,static_fa,monitor_catch,monitor_fa
CatBoost,0.65,0.28711379050489827,0.03402525144446822,0.4461190655614167,0.10742563663599401
CatBoost,0.7,0.12735493594574226,0.010699764605178685,0.22532027128862095,0.03038733147870747
CatBoost,0.75,0.03391107761868877,0.0012839717526214422,0.05425772418990203,0.004707896426278622
CatBoost,0.7999999999999999,0.03391107761868877,0.0012839717526214422,0.05425772418990203,0.004707896426278622
CatBoost,0.85,0.027882441597588545,0.0010699764605178687,0.04370761115297664,0.004065910549967901
CatBoost,0.9,0.020346646571213264,0.0006419858763107211,0.033157498116051246,0.0025679435052428845
CatBoost,0.95,0.00904295403165034,0.0,0.00904295403165034,0.00021399529210357372
LSTM,0.05,0.9969856819894499,0.9815964048790926,0.9992464204973625,0.9952921035737213
LSTM,0.1,0.8786737000753579,0.6229402953135031,0.9668425018839487,0.8692488765247165
LSTM,0.15,0.7332328560663149,0.3637919965760753,0.8756593820648079,0.615450460089878
LSTM,0.2,0.5621703089675961,0.1765461159854483,0.6985681989449887,0.3387545473999572
LSTM,0.25,0.4740015071590053,0.10549967900706185,0.5599095704596835,0.1840359512090734
LSTM,0.3,0.47324792765636775,0.10507168842285469,0.5599095704596835,0.18360796062486626
LSTM,0.35,0.44762622456669177,0.09629788144660817,0.5546345139412208,0.1759041301091376
LSTM,0.39999999999999997,0.4461190655614167,0.094371923817676,0.5531273549359458,0.17526214423282688
LSTM,0.44999999999999996,0.39562923888470236,0.0684784934731436,0.5365486058779201,0.15685854911191954
LSTM,0.49999999999999994,0.3602110022607385,0.054996790070618445,0.5312735493594575,0.1497967044725016
LSTM,0.5499999999999999,0.32102486812358705,0.04108709608388615,0.5101733232856066,0.1440188315857051
LSTM,0.6,0.3044461190655614,0.03937513374705756,0.4898266767143934,0.13631500106997646
LSTM,0.65,0.266767143933685,0.031243312647121765,0.4611906556141673,0.12497325058848706
LSTM,0.7,0.21703089675960813,0.02482345388401455,0.39638281838733985,0.10785362722020116
LSTM,0.75,0.02185380557648832,0.0019259576289321636,0.055011303692539565,0.008773806976246523
LSTM,0.7999999999999999,0.02185380557648832,0.0019259576289321636,0.055011303692539565,0.008773806976246523
LSTM,0.85,0.02185380557648832,0.0019259576289321636,0.055011303692539565,0.008773806976246523
LSTM,0.9,0.007535795026375283,0.00021399529210357372,0.018839487565938208,0.0025679435052428845
LSTM,0.95,0.007535795026375283,0.00021399529210357372,0.018839487565938208,0.0025679435052428845
