model,AUC,Gini,KS,Brier
Random Forest,0.7741336940022134,0.5482673880044269,0.4043678906434066,0.1371717557778096
XGBoost,0.7760141756157929,0.5520283512315858,0.4247801710381965,0.13600005117210792
LSTM,0.7617632502514485,0.5235265005028971,0.3995287265699748,0.13878241181373596
